order_id,product_id,product_title,category,price,quantity,total,status,created_at,date,day_name,hour,month,week,is_weekend
ORD-100001,35925127,"Original Jersey Netherlands Away 2015 ""7 Memphis Depay"" Euro Cup Nike [sportswear, sepakbola, vintage, retro, 90s, y2k, skate, casual, fashion, atasan, unisex]",Fashion,698569,2,1397138,COMPLETED,2025-12-31T12:47:54.161076,2025-12-31,Wednesday,12,12,1,False
ORD-100002,64383180,Batik keris fashion batik keris,Fashion,187034,1,187034,COMPLETED,2025-12-31T10:32:54.161076,2025-12-31,Wednesday,10,12,1,False
ORD-100003,50423645,Cardigan rajut fashion,Fashion,63669,1,63669,COMPLETED,2025-12-31T17:14:54.161076,2025-12-31,Wednesday,17,12,1,False
ORD-100004,50133989,kemeja ootd jumbo bigsize preloved fashion today,Fashion,79545,1,79545,SHIPPED,2025-12-31T08:44:54.161076,2025-12-31,Wednesday,8,12,1,False
ORD-100005,41510630,Jaket Hoodie pria fashion GIVE IT UP big logo hitam murah size m,Fashion,78890,1,78890,COMPLETED,2026-01-01T18:24:54.161076,2026-01-01,Thursday,18,1,1,False
ORD-100006,62349101,Longsleeve Lacoste Fashion,Fashion,72630,1,72630,COMPLETED,2026-01-01T14:29:54.161076,2026-01-01,Thursday,14,1,1,False
ORD-100007,64383180,Batik keris fashion batik keris,Fashion,222060,1,222060,COMPLETED,2026-01-01T11:40:54.161076,2026-01-01,Thursday,11,1,1,False
ORD-100008,75900751,CARDIGAN RIB/CARDIGAN CROP/CARDIGAN RAJUT/CARDIGAN WAFER/CARDIGAN WAFFLE/BY GFS (GIRL FASHION STORY),Fashion,10446,2,20892,COMPLETED,2026-01-01T13:42:54.161076,2026-01-01,Thursday,13,1,1,False
ORD-100009,76903656,KEMEJA BIRU MAX FASHION TIPE OVERSIZE,Fashion,64704,2,129408,SHIPPED,2026-01-01T19:24:54.161076,2026-01-01,Thursday,19,1,1,False
ORD-100010,96953448,Kemeja Veterano Fashion not Caltop Pendleton Ralph Lauren Giordano,Fashion,86355,1,86355,COMPLETED,2026-01-01T13:42:54.161076,2026-01-01,Thursday,13,1,1,False
ORD-100011,96953448,Kemeja Veterano Fashion not Caltop Pendleton Ralph Lauren Giordano,Fashion,82139,2,164278,COMPLETED,2026-01-01T11:34:54.161076,2026-01-01,Thursday,11,1,1,False
ORD-100012,79673141,"[M] PLAY FASHION [B4-32] - (KAOS POLO / KAOS BERKERAH) (POLO SHIRT) SECOND, THRIFT, BEKAS, PRELOVED, USED - 0uZk2cvEbQYleWOh4XCw",Fashion,105178,1,105178,COMPLETED,2026-01-01T22:35:54.161076,2026-01-01,Thursday,22,1,1,False
ORD-100013,76903656,KEMEJA BIRU MAX FASHION TIPE OVERSIZE,Fashion,61857,1,61857,COMPLETED,2026-01-01T18:02:54.161076,2026-01-01,Thursday,18,1,1,False
ORD-100014,84979622,Kemeja Lengan Pendek Simon Fashion LD 92 1,Fashion,34453,1,34453,PROCESSED,2026-01-02T21:20:54.161076,2026-01-02,Friday,21,1,1,False
ORD-100015,38992108,Fashion Today - Kemeja Crinkle Coklat,Fashion,37038,1,37038,COMPLETED,2026-01-02T20:16:54.161076,2026-01-02,Friday,20,1,1,False
ORD-100016,88364831,Jaket parka army military green hijau m65 fashion guess,Fashion,224909,1,224909,COMPLETED,2026-01-02T14:57:54.161076,2026-01-02,Friday,14,1,1,False
ORD-100017,33235209,BKK Fashion,Fashion,88895,1,88895,COMPLETED,2026-01-02T22:05:54.161076,2026-01-02,Friday,22,1,1,False
ORD-100018,25649285,Fashion NY 68 Varsity Jacket,Fashion,144170,2,288340,COMPLETED,2026-01-02T13:38:54.161076,2026-01-02,Friday,13,1,1,False
ORD-100019,15767726,Kemeja Tnf Buat Fashion /Outdoor Original,Fashion,341506,1,341506,COMPLETED,2026-01-02T16:35:54.161076,2026-01-02,Friday,16,1,1,False
ORD-100020,77608982,Kaos Fashion L,Fashion,28374,1,28374,SHIPPED,2026-01-02T20:49:54.161076,2026-01-02,Friday,20,1,1,False
ORD-100021,64544318,Kemeja Tnf Lengan Panjang Fashion /Outdoor Pria Original,Fashion,356090,1,356090,COMPLETED,2026-01-02T13:46:54.161076,2026-01-02,Friday,13,1,1,False
ORD-100022,67661682,Blouse fashion,Fashion,55153,2,110306,COMPLETED,2026-01-03T12:53:54.161076,2026-01-03,Saturday,12,1,1,True
ORD-100023,48838750,"Original Jersey Tottenham Hotspur ""Home"" 2014/15 #2 Walker Capital One Cup Final Under Armour [sportswear, sepakbola, vintage, retro, 90s, y2k, skate, casual, fashion, atasan, unisex]",Fashion,195912,1,195912,COMPLETED,2026-01-03T15:49:54.161076,2026-01-03,Saturday,15,1,1,True
ORD-100024,31643621,"Bundling Kaos fashion volcom, insight, DC (3pcs)",Fashion,131051,2,262102,COMPLETED,2026-01-03T16:23:54.161076,2026-01-03,Saturday,16,1,1,True
ORD-100025,41725166,Kaos Art Vespa Vintage Fashion Retro Klasik Baju Abu-Abu,Fashion,49807,1,49807,COMPLETED,2026-01-03T16:46:54.161076,2026-01-03,Saturday,16,1,1,True
ORD-100026,2090480,Fashion wanita / Atasan wanita / Kemeja / Vintage,Fashion,83927,2,167854,COMPLETED,2026-01-03T16:42:54.161076,2026-01-03,Saturday,16,1,1,True
ORD-100027,75547289,PRELOVED Fashion Today Shirt,Fashion,53857,2,107714,COMPLETED,2026-01-03T16:13:54.161076,2026-01-03,Saturday,16,1,1,True
ORD-100028,64383180,Batik keris fashion batik keris,Fashion,205790,2,411580,COMPLETED,2026-01-03T17:42:54.161076,2026-01-03,Saturday,17,1,1,True
ORD-100029,64544318,Kemeja Tnf Lengan Panjang Fashion /Outdoor Pria Original,Fashion,440945,1,440945,COMPLETED,2026-01-03T15:04:54.161076,2026-01-03,Saturday,15,1,1,True
